ra,ano,fase,pedra,idade_unificada,genero,bolsa,ian,ida,ieg,iaa,ips,ipp,ipv,inde,delta_ida,delta_ieg,delta_ips,risco_defasagem
RA-1,2022,Fase 7,Nao_Informado,19,Feminino,Não,5.0,4.0,4.1,8.3,5.6,,7.278,5.783,0.0,0.0,0.0,1
RA-10,2022,Fase 7,Nao_Informado,18,Feminino,Não,5.0,4.1,5.2,8.3,5.0,,7.056,5.784,0.0,0.0,0.0,1
RA-100,2022,Fase 4,Nao_Informado,13,Feminino,Não,10.0,7.6,7.8,8.8,5.0,,7.25,7.618,0.0,0.0,0.0,0
RA-1000,2023,Fase 0 (Alfa),Ametista,8,Feminino,Não,10.0,7.0,9.4,8.5,3.77,6.25,8.92,7.9162,0.0,0.0,0.0,0
RA-1000,2024,Fase 1,Topázio,9,Feminino,Não,10.0,7.75,9.5454545455,9.002,6.26,8.125,7.835,8.364790909100002,0.75,0.1454545454999998,2.4899999999999998,0
RA-1001,2023,Fase 0 (Alfa),Topázio,9,Feminino,Não,5.0,7.8,9.1,9.0,7.52,7.5,9.17,8.1162,0.0,0.0,0.0,1
RA-1001,2024,Fase 1,Ametista,10,Feminino,Não,5.0,7.75,9.347826087,7.502,7.51,7.916666667,7.92,7.7964318841,-0.04999999999999982,0.24782608699999997,-0.009999999999999787,1
RA-1002,2023,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,7.0,9.7,9.0,7.52,6.25,8.92,7.9012,0.0,0.0,0.0,1
RA-1002,2024,Fase 0 (Alfa),Ametista,10,Feminino,Não,5.0,9.25,7.833333333500001,9.002,7.51,7.5,8.25,7.967866666700001,2.25,-1.8666666664999987,-0.009999999999999787,1
RA-1003,2023,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,4.0,8.5,9.0,7.52,7.5,8.75,7.6522,0.0,0.0,0.0,0
RA-1003,2024,Fase 0 (Alfa),Ametista,9,Masculino,Não,5.0,8.25,8.6944444445,8.002,7.51,6.875,7.5,7.627588888900001,4.25,0.1944444445000002,-0.009999999999999787,1
RA-1004,2023,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,7.9,9.6,9.0,7.52,6.875,7.42,8.3137,0.0,0.0,0.0,0
RA-1004,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,7.5,9.25,9.502,7.51,7.5,7.5,7.801200000000001,-0.40000000000000036,-0.34999999999999964,-0.009999999999999787,1
RA-1005,2023,Fase 0 (Alfa),Topázio,8,Masculino,Não,10.0,8.8,7.9,9.5,7.52,7.5,8.165,8.4252,0.0,0.0,0.0,0
RA-1006,2023,Fase 0 (Alfa),Topázio,8,Feminino,Não,10.0,8.7,9.3,9.0,7.52,7.5,8.0,8.5922,0.0,0.0,0.0,0
RA-1006,2024,Fase 0 (Alfa),Ametista,9,Feminino,Não,5.0,5.0,8.4444444445,8.502,7.51,7.5,7.5,7.040088888900001,-3.6999999999999993,-0.8555555555000005,-0.009999999999999787,1
RA-1007,2023,Fase 0 (Alfa),Topázio,0,Masculino,Não,10.0,8.3,7.4,9.0,7.52,7.5,7.68,8.0782,0.0,0.0,0.0,0
RA-1008,2023,Fase 0 (Alfa),Topázio,8,Masculino,Não,10.0,8.4,8.6,9.0,7.52,5.9375,7.5,8.13595,0.0,0.0,0.0,0
RA-1008,2024,Fase 0 (Alfa),Agata,9,Masculino,Não,5.0,7.0,6.483957219,7.002,7.51,7.1875,7.5,6.8667414438000005,-1.4000000000000004,-2.116042781,-0.009999999999999787,1
RA-1009,2023,Fase 0 (Alfa),Ametista,8,Masculino,Não,10.0,8.8,9.0,0.0,3.77,7.5,7.84,7.245,0.0,0.0,0.0,0
RA-1009,2024,Fase 0 (Alfa),Agata,9,Masculino,Não,5.0,7.5,6.8863636365000005,8.002,2.51,6.5625,6.553333333,6.395389393900001,-1.3000000000000007,-2.1136363634999995,-1.2600000000000002,1
RA-101,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,7.6,8.3,7.9,7.5,,6.833,7.305,0.0,0.0,0.0,1
RA-1010,2023,Fase 0 (Alfa),Topázio,8,Masculino,Não,10.0,9.4,10.0,9.5,3.77,7.8125,8.59,8.70645,0.0,0.0,0.0,0
RA-1011,2023,Fase 0 (Alfa),Ametista,0,Masculino,Não,10.0,5.2,8.6,9.5,3.77,7.1875,7.675,7.33095,0.0,0.0,0.0,0
RA-1012,2023,Fase 0 (Alfa),Ametista,8,Feminino,Não,10.0,6.6,9.9,10.0,3.77,7.1875,7.845,7.96495,0.0,0.0,0.0,0
RA-1012,2024,Fase 0 (Alfa),Topázio,9,Feminino,Não,5.0,9.75,9.523809524,9.502,2.51,8.125,8.443333333,8.057128571400002,3.1500000000000004,-0.37619047599999966,-1.2600000000000002,1
RA-1013,2023,Fase 0 (Alfa),Ametista,7,Masculino,Não,10.0,8.3,9.6,9.0,4.39,5.625,5.76,7.6237,0.0,0.0,0.0,0
RA-1013,2024,Fase 0 (Alfa),Quartzo,8,Masculino,Não,5.0,7.75,5.693779904,9.002,2.51,5.0,4.72,5.7839559808,-0.5500000000000007,-3.9062200959999993,-1.88,1
RA-1014,2023,Fase 0 (Alfa),Topázio,0,Feminino,Não,10.0,8.2,9.7,9.0,3.77,7.5,8.255,8.2582,0.0,0.0,0.0,0
RA-1014,2024,Fase 0 (Alfa),Agata,8,Feminino,Não,5.0,5.25,7.8863636365,8.502,2.51,6.875,7.0,6.315972727300001,-2.9499999999999993,-1.8136363634999997,-1.2600000000000002,1
RA-1015,2023,Fase 1,Ametista,10,Feminino,Não,5.0,6.3,9.3,10.0,6.27,7.34375,7.786666667,7.538908333,0.0,0.0,0.0,1
RA-1015,2024,Fase 2,Agata,11,Feminino,Não,10.0,4.0,7.8214285715,7.918,7.51,6.041666667,5.66,6.643252381000002,-2.3,-1.4785714285000005,1.2400000000000002,0
RA-1016,2023,Fase 1,Ametista,10,Feminino,Não,5.0,6.7,9.5,10.0,7.52,7.34375,7.73,7.762575,0.0,0.0,0.0,1
RA-1017,2023,Fase 1,Agata,0,Masculino,Não,5.0,7.7,8.0,0.0,5.02,7.5,8.116666667,6.505333333,0.0,0.0,0.0,1
RA-1017,2024,Fase 2,Ametista,12,Masculino,Não,10.0,5.0,7.8095238095,9.502,6.26,7.1875,7.443333333,7.345521428500001,-2.7,-0.1904761905000001,1.2400000000000002,0
RA-1018,2023,Fase 1,Agata,0,Masculino,Não,10.0,6.3,8.5,0.0,5.02,7.5,8.06,6.824,0.0,0.0,0.0,0
RA-1018,2024,Fase 1,Ametista,10,Masculino,Não,5.0,8.25,7.727272727,8.502,6.26,8.4375,8.45,7.7054045454,1.9500000000000002,-0.7727272730000001,1.2400000000000002,1
RA-1019,2023,Fase 1,Ametista,8,Feminino,Não,10.0,4.3,9.1,7.5,5.02,6.875,7.836666667,7.177033333,0.0,0.0,0.0,0
RA-1019,2024,Fase 1,Topázio,9,Feminino,Não,10.0,8.75,9.3073593075,9.502,6.26,7.8125,8.616666667,8.692255194900001,4.45,0.20735930750000087,1.2400000000000002,0
RA-102,2022,Fase 4,Nao_Informado,14,Masculino,Não,10.0,5.7,7.7,6.7,6.9,,6.0,6.922,0.0,0.0,0.0,0
RA-1020,2023,Fase 1,Ametista,9,Feminino,Não,10.0,6.1,9.1,10.0,2.52,7.1875,8.056666667,7.612283333,0.0,0.0,0.0,0
RA-1020,2024,Fase 1,Topázio,10,Feminino,Não,10.0,9.0,9.7727272725,9.002,6.88,8.4375,8.84,8.9544954545,2.9000000000000004,0.6727272724999995,4.359999999999999,0
RA-1021,2023,Fase 1,Agata,0,Masculino,Não,10.0,3.3,9.2,8.0,3.77,7.1875,7.893333333,6.964616667,0.0,0.0,0.0,0
RA-1021,2024,Fase 1,Topázio,10,Masculino,Não,5.0,8.0,9.318181818,9.502,7.51,8.4375,7.95,8.0985863636,4.7,0.11818181800000005,3.7399999999999998,1
RA-1022,2023,Fase 1,Ametista,9,Masculino,Não,10.0,4.7,8.5,8.5,3.77,7.1875,7.893333333,7.164616667,0.0,0.0,0.0,0
RA-1022,2024,Fase 1,Ametista,10,Masculino,Não,5.0,6.5,9.318181818,9.502,6.26,7.5,8.116666667,7.613169697000002,1.7999999999999998,0.8181818179999993,2.4899999999999998,1
RA-1023,2023,Fase 1,Topázio,0,Feminino,Não,10.0,9.1,10.0,10.0,6.27,8.75,9.06,9.1342,0.0,0.0,0.0,0
RA-1023,2024,Fase 2,Topázio,10,Feminino,Não,10.0,9.5,9.511904762,9.502,9.375,8.958333333,9.563333333,9.4985809523,0.40000000000000036,-0.48809523799999965,3.1050000000000004,0
RA-1024,2023,Fase 1,Ametista,10,Feminino,Não,5.0,9.8,10.0,0.0,6.27,9.21875,8.95,7.788875,0.0,0.0,0.0,1
RA-1024,2024,Fase 1,Topázio,11,Feminino,Não,5.0,10.0,10.0,8.002,7.51,8.4375,8.783333333,8.6516166666,0.1999999999999993,0.0,1.2400000000000002,1
RA-1025,2023,Fase 1,Topázio,9,Masculino,Não,10.0,7.5,8.9,8.5,7.52,7.65625,7.836666667,8.215158333,0.0,0.0,0.0,0
RA-1025,2024,Fase 1,Ametista,10,Masculino,Não,5.0,9.0,7.727272727,9.002,7.51,8.4375,7.783333333,7.897071212,1.5,-1.1727272730000005,-0.009999999999999787,1
RA-1026,2023,Fase 1,Agata,0,Feminino,Não,2.5,3.2,9.8,8.5,7.52,6.40625,7.06,6.494825,0.0,0.0,0.0,1
RA-1027,2023,Fase 1,Ametista,10,Feminino,Não,5.0,6.0,9.7,9.5,7.52,7.5,8.333333333,7.748866667,0.0,0.0,0.0,1
RA-1027,2024,Fase 2,Topázio,11,Feminino,Não,10.0,5.25,10.0,9.502,7.51,7.916666667,8.39,8.220866666700001,-0.75,0.3000000000000007,-0.009999999999999787,0
RA-1028,2023,Fase 1,Agata,11,Masculino,Não,5.0,5.0,9.2,0.0,7.52,7.34375,7.946666667,6.415708333,0.0,0.0,0.0,1
RA-1028,2024,Fase 1,Ametista,12,Masculino,Não,5.0,7.5,7.055335968,8.002,5.63,6.875,8.393333333,7.1404338602,2.5,-2.1446640319999997,-1.8899999999999997,1
RA-1029,2023,Fase 1,Ametista,9,Feminino,Não,10.0,5.4,6.3,10.0,3.77,7.5,8.006666667,7.058533333,0.0,0.0,0.0,0
RA-1029,2024,Fase 1,Ametista,10,Feminino,Não,5.0,8.75,8.7954545455,9.002,6.885,7.5,7.25,7.797790909100001,3.3499999999999996,2.4954545455000003,3.1149999999999998,1
RA-103,2022,Fase 4,Nao_Informado,13,Feminino,Não,10.0,7.3,8.7,7.9,7.5,,7.708,8.107,0.0,0.0,0.0,0
RA-103,2023,Fase 5,Topázio,14,Feminino,Sim,10.0,7.1,9.2,8.3,5.0,8.125,8.09,8.0239,-0.20000000000000018,0.5,-2.5,0
RA-103,2024,Fase 5,Topázio,15,Feminino,Sim,10.0,9.166666666666666,9.603174603333336,8.334,6.26,7.875,8.872,8.775268254,2.0666666666666664,0.403174603333337,1.2599999999999998,0
RA-1030,2023,Fase 1,Ametista,0,Masculino,Não,5.0,6.9,9.7,8.5,3.77,6.875,8.39,7.4027,0.0,0.0,0.0,1
RA-1030,2024,Fase 2,Ametista,12,Masculino,Não,10.0,8.0,8.28320802,7.418,4.385,7.8125,7.61,7.740191604,1.0999999999999996,-1.4167919799999993,0.6149999999999998,0
RA-1031,2023,Fase 1,Ametista,10,Masculino,Não,5.0,5.9,8.8,8.0,7.52,6.666666667,7.006666667,7.0602,0.0,0.0,0.0,1
RA-1031,2024,Fase 1,Agata,11,Masculino,Não,5.0,6.25,8.6363636365,9.502,7.51,5.3125,5.83,6.8757227273,0.34999999999999964,-0.16363636350000021,-0.009999999999999787,1
RA-1032,2023,Fase 1,Ametista,0,Masculino,Não,5.0,6.0,9.5,8.5,7.52,7.291666667,7.563333333,7.434033333,0.0,0.0,0.0,1
RA-1032,2024,Fase 1,Topázio,11,Masculino,Não,5.0,8.0,9.75,8.502,7.51,7.8125,7.92,8.01645,2.0,0.25,-0.009999999999999787,1
RA-1033,2023,Fase 1,Topázio,0,Feminino,Não,5.0,7.9,8.9,9.0,7.52,8.125,9.006666667,8.126033333,0.0,0.0,0.0,1
RA-1034,2023,Fase 1,Ametista,10,Masculino,Não,5.0,8.3,9.0,7.5,7.52,8.333333333,8.393333333,7.9642,0.0,0.0,0.0,1
RA-1034,2024,Fase 2,Topázio,11,Masculino,Não,10.0,7.5,8.0833333335,7.502,7.51,7.708333333,8.223333333,8.0333666666,-0.8000000000000007,-0.9166666664999994,-0.009999999999999787,0
RA-1035,2023,Fase 1,Agata,9,Masculino,Não,10.0,5.8,8.3,0.0,7.52,7.708333333,7.78,6.888833333,0.0,0.0,0.0,0
RA-1035,2024,Fase 1,Ametista,10,Masculino,Não,5.0,7.0,9.0227272725,9.502,7.51,8.4375,7.92,7.833495454500001,1.2000000000000002,0.7227272724999985,-0.009999999999999787,1
RA-1036,2023,Fase 1,Agata,11,Feminino,Não,5.0,8.0,9.6,0.0,3.77,9.0625,8.336666667,6.970583333,0.0,0.0,0.0,1
RA-1036,2024,Fase 2,Topázio,12,Feminino,Não,10.0,7.0,9.0890269155,10.0,7.51,7.65625,7.7475,8.2841303831,-1.0,-0.5109730844999998,3.7399999999999998,0
RA-1037,2023,Fase 1,Ametista,10,Masculino,Não,5.0,6.7,8.4,9.0,7.52,8.59375,8.17,7.655575,0.0,0.0,0.0,1
RA-1038,2023,Fase 1,Ametista,10,Feminino,Sim,5.0,6.5,9.3,8.0,7.52,8.90625,8.17,7.736825,0.0,0.0,0.0,1
RA-1038,2024,Fase 2,Ametista,11,Feminino,Não,10.0,8.5,7.5438596495,8.002,7.51,7.5,7.273333333,7.9646385965,2.0,-1.7561403505000008,-0.009999999999999787,0
RA-1039,2023,Fase 1,Ametista,0,Masculino,Não,5.0,6.2,9.9,8.0,7.52,8.125,8.056666667,7.686033333,0.0,0.0,0.0,1
RA-1039,2024,Fase 2,Ametista,13,Masculino,Não,5.0,7.25,9.722222222,8.002,7.51,7.5,6.77,7.549644444400001,1.0499999999999998,-0.17777777800000116,-0.009999999999999787,1
RA-104,2022,Fase 4,Nao_Informado,18,Masculino,Não,2.5,3.7,8.7,7.9,7.5,,6.708,6.315,0.0,0.0,0.0,1
RA-104,2023,Fase 5,Quartzo,0,Masculino,Não,2.5,2.6,7.7,0.0,2.52,5.625,5.6275,4.25,-1.1,-0.9999999999999991,-4.98,1
RA-1040,2023,Fase 1,Ametista,0,Masculino,Não,5.0,6.6,9.3,10.0,7.52,7.8125,8.06,7.81545,0.0,0.0,0.0,1
RA-1040,2024,Fase 2,Ametista,12,Masculino,Não,5.0,8.25,8.5416666665,9.502,7.51,7.5,7.273333333,7.764199999900001,1.6500000000000004,-0.7583333335000013,-0.009999999999999787,1
RA-1041,2023,Fase 1,Agata,10,Feminino,Não,5.0,3.3,7.2,10.0,7.52,7.8125,8.003333333,6.724116667,0.0,0.0,0.0,1
RA-1042,2023,Fase 1,Quartzo,0,Masculino,Não,5.0,4.3,6.5,0.0,3.77,7.708333333,7.666666667,5.331166667,0.0,0.0,0.0,1
RA-1043,2023,Fase 1,Agata,10,Masculino,Não,5.0,2.5,7.9,10.0,6.27,7.708333333,7.833333333,6.5447,0.0,0.0,0.0,1
RA-1043,2024,Fase 1,Ametista,11,Masculino,Não,5.0,8.25,7.994071146,10.0,7.51,7.291666667,6.553333333,7.539847562500002,5.75,0.09407114599999922,1.2400000000000002,1
RA-1044,2023,Fase 1,Ametista,10,Feminino,Não,5.0,6.1,9.7,8.0,7.52,7.5,8.336666667,7.629533333,0.0,0.0,0.0,1
RA-1044,2024,Fase 2,Ametista,11,Feminino,Não,10.0,7.0,9.523809524,7.502,7.51,7.1875,7.21,7.966711904800001,0.9000000000000004,-0.1761904759999986,-0.009999999999999787,0
RA-1045,2023,Fase 1,Topázio,11,Feminino,Não,5.0,7.9,9.4,9.5,7.52,7.708333333,8.28,8.089033333,0.0,0.0,0.0,1
RA-1046,2023,Fase 1,Agata,9,Masculino,Não,10.0,6.3,8.5,0.0,3.77,8.541666667,8.223333333,6.835833333,0.0,0.0,0.0,0
RA-1047,2023,Fase 1,Ametista,9,Masculino,Não,10.0,6.9,8.5,10.0,3.77,8.125,7.893333333,7.848366667,0.0,0.0,0.0,0
RA-1048,2023,Fase 1,Ametista,10,Feminino,Sim,5.0,8.2,9.5,8.5,3.77,8.541666667,8.5,7.811366667,0.0,0.0,0.0,1
RA-1048,2024,Fase 2,Ametista,11,Feminino,Sim,10.0,6.25,6.833333333500001,8.502,6.255,7.708333333,8.283333333,7.5198666666,-1.9499999999999993,-2.6666666664999994,2.485,0
RA-1049,2023,Fase 1,Ametista,10,Masculino,Não,5.0,6.3,7.7,10.0,7.52,8.125,7.943333333,7.443366667,0.0,0.0,0.0,1
RA-1049,2024,Fase 1,Agata,11,Masculino,Não,5.0,4.5,8.03030303,9.502,7.51,7.65625,6.745,6.821885606,-1.7999999999999998,0.3303030300000005,-0.009999999999999787,1
RA-105,2022,Fase 4,Nao_Informado,17,Masculino,Não,2.5,6.7,8.2,7.9,5.6,,7.417,6.846,0.0,0.0,0.0,1
RA-1050,2023,Fase 1,Ametista,11,Masculino,Não,5.0,7.2,9.2,9.0,6.27,8.125,8.223333333,7.764366667,0.0,0.0,0.0,1
RA-1051,2023,Fase 1,Topázio,9,Feminino,Não,10.0,8.4,8.9,8.5,6.27,8.75,8.613333333,8.534866667,0.0,0.0,0.0,0
RA-1052,2023,Fase 1,Agata,0,Masculino,Não,10.0,5.3,9.0,0.0,7.52,7.916666667,7.833333333,6.960333333,0.0,0.0,0.0,0
RA-1052,2024,Fase 1,Ametista,10,Masculino,Não,5.0,8.25,9.128787879,5.834,6.26,8.59375,8.4975,7.744032575800001,2.95,0.12878787900000077,-1.2599999999999998,1
RA-1053,2023,Fase 1,Ametista,9,Masculino,Não,10.0,8.6,9.1,0.0,6.27,8.958333333,8.616666667,7.776166667,0.0,0.0,0.0,0
RA-1054,2023,Fase 1,Ametista,0,Masculino,Não,5.0,6.6,8.6,8.5,7.52,7.5,7.836666667,7.459533333,0.0,0.0,0.0,1
RA-1054,2024,Fase 2,Agata,13,Masculino,Não,5.0,6.25,7.3291925465,9.502,7.51,7.1875,6.75,6.985788509300001,-0.34999999999999964,-1.2708074534999998,-0.009999999999999787,1
RA-1055,2023,Fase 1,Quartzo,11,Masculino,Não,5.0,5.5,7.2,0.0,7.52,7.291666667,7.276666667,5.9765,0.0,0.0,0.0,1
RA-1055,2024,Fase 1,Agata,12,Masculino,Não,5.0,5.5,5.7954545455,10.0,7.51,7.1875,5.87,6.403040909100001,0.0,-1.4045454545,-0.009999999999999787,1
RA-1056,2023,Fase 1,Topázio,9,Masculino,Não,10.0,8.1,9.6,8.5,7.52,7.96875,8.113333333,8.551741667,0.0,0.0,0.0,0
RA-1056,2024,Fase 1,Topázio,10,Masculino,Não,5.0,8.25,9.2857142855,8.502,7.51,9.166666667,8.335,8.192009523800001,0.15000000000000036,-0.3142857145000004,-0.009999999999999787,1
RA-1057,2023,Fase 1,Topázio,9,Feminino,Não,10.0,6.3,10.0,10.0,7.52,8.125,8.34,8.4827,0.0,0.0,0.0,0
RA-1057,2024,Fase 1,Topázio,10,Feminino,Não,5.0,8.0,10.0,10.0,6.26,8.75,8.17,8.2352,1.7000000000000002,0.0,-1.2599999999999998,1
RA-1058,2023,Fase 1,Ametista,0,Feminino,Não,10.0,5.4,8.7,10.0,3.14,7.083333333,7.62,7.356533333,0.0,0.0,0.0,0
RA-1058,2024,Fase 1,Ametista,10,Feminino,Não,5.0,7.75,8.095238095,9.168,6.88,8.125,8.085,7.703347619,2.3499999999999996,-0.6047619050000002,3.7399999999999998,1
RA-1059,2023,Fase 1,Ametista,0,Masculino,Não,5.0,7.6,9.8,10.0,2.52,7.96875,8.673333333,7.763741667,0.0,0.0,0.0,1
RA-1059,2024,Fase 2,Topázio,11,Masculino,Não,10.0,7.5,10.0,8.002,6.26,9.0625,9.23,8.678450000000002,-0.09999999999999964,0.1999999999999993,3.7399999999999998,0
RA-106,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,7.4,8.0,9.2,9.4,,8.375,7.973,0.0,0.0,0.0,1
RA-106,2023,Fase 5,Ametista,15,Feminino,Sim,10.0,7.3,9.1,7.9,5.0,7.03125,7.5075,7.769658333,-0.10000000000000053,1.0999999999999996,-4.4,0
RA-106,2024,Fase 6,Ametista,16,Feminino,Sim,10.0,5.666666666666667,8.761904762,9.168,5.635,7.8125,7.872,7.721664285733334,-1.6333333333333329,-0.3380952379999993,0.6349999999999998,0
RA-1060,2023,Fase 1,Ametista,0,Masculino,Não,5.0,5.7,8.6,9.0,3.14,7.96875,8.673333333,7.095741667,0.0,0.0,0.0,1
RA-1060,2024,Fase 2,Agata,12,Masculino,Não,10.0,3.25,6.0,9.585,6.26,7.8125,6.163333333,6.448416666600001,-2.45,-2.5999999999999996,3.1199999999999997,0
RA-1061,2023,Fase 1,Topázio,10,Masculino,Não,5.0,9.3,9.7,9.5,3.14,8.75,8.836666667,8.196533333,0.0,0.0,0.0,1
RA-1061,2024,Fase 2,Topázio,11,Masculino,Não,10.0,8.5,10.0,8.502,6.26,8.4375,8.73,8.76595,-0.8000000000000007,0.3000000000000007,3.1199999999999997,0
RA-1062,2023,Fase 1,Ametista,0,Masculino,Não,10.0,6.2,7.7,7.4,3.77,8.59375,8.503333333,7.448841667,0.0,0.0,0.0,0
RA-1062,2024,Fase 1,Ametista,10,Masculino,Não,5.0,7.25,9.047619048,8.002,5.63,8.75,8.085,7.6147238096,1.0499999999999998,1.3476190479999994,1.8599999999999999,1
RA-1063,2023,Fase 1,Ametista,0,Masculino,Sim,5.0,5.9,9.5,9.5,7.52,6.40625,7.89,7.490825,0.0,0.0,0.0,1
RA-1063,2024,Fase 2,Ametista,12,Masculino,Não,5.0,7.75,9.75,5.25,7.51,7.8125,6.11,7.279250000000001,1.8499999999999996,0.25,-0.009999999999999787,1
RA-1064,2023,Fase 1,Topázio,10,Masculino,Não,5.0,8.6,9.8,8.5,7.52,9.375,8.84,8.4777,0.0,0.0,0.0,1
RA-1064,2024,Fase 2,Topázio,11,Masculino,Não,10.0,8.5,9.7368421055,9.502,7.51,8.75,8.783333333,8.9802350877,-0.09999999999999964,-0.06315789450000153,-0.009999999999999787,0
RA-1065,2023,Fase 1,Topázio,0,Feminino,Não,5.0,7.0,9.6,8.5,7.52,8.4375,8.84,8.03395,0.0,0.0,0.0,1
RA-1065,2024,Fase 2,Topázio,11,Feminino,Não,10.0,9.25,8.8152173915,9.502,6.26,9.0625,8.84,8.8634934783,2.25,-0.7847826085000005,-1.2599999999999998,0
RA-1066,2023,Fase 1,Ametista,10,Feminino,Não,5.0,6.2,6.6,8.5,7.52,8.4375,8.783333333,7.262616667,0.0,0.0,0.0,1
RA-1066,2024,Fase 2,Ametista,11,Feminino,Não,10.0,7.25,8.3954451345,9.502,6.26,7.5,7.386666667,7.9326223603,1.0499999999999998,1.7954451344999995,-1.2599999999999998,0
RA-1067,2023,Fase 1,Agata,10,Masculino,Não,5.0,5.4,7.9,0.0,7.52,8.28125,9.006666667,6.541458333,0.0,0.0,0.0,1
RA-1067,2024,Fase 1,Ametista,11,Masculino,Não,5.0,6.75,8.333333332999999,10.0,7.51,8.541666667,8.59,7.840033333300001,1.3499999999999996,0.43333333299999843,-0.009999999999999787,1
RA-1068,2023,Fase 1,Topázio,0,Masculino,Não,5.0,9.0,9.3,8.5,6.89,9.166666667,9.283333333,8.472533333,0.0,0.0,0.0,1
RA-1068,2024,Fase 2,Topázio,11,Masculino,Não,10.0,9.5,9.068181818,9.502,7.51,8.541666667,8.73,9.0150030303,0.5,-0.23181818200000137,0.6200000000000001,0
RA-1069,2023,Fase 1,Ametista,11,Masculino,Não,5.0,7.1,7.8,9.0,7.52,8.125,8.226666667,7.590033333,0.0,0.0,0.0,1
RA-1069,2024,Fase 2,Ametista,12,Masculino,Não,10.0,6.25,7.0760869565,9.002,7.51,8.125,7.75,7.678917391300001,-0.8499999999999996,-0.7239130434999996,-0.009999999999999787,0
RA-107,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,4.6,6.4,7.5,7.5,,6.5,6.258,0.0,0.0,0.0,1
RA-107,2023,Fase 5,Agata,15,Feminino,Não,10.0,7.0,8.5,0.0,5.0,7.34375,7.5875,6.845208333,2.4000000000000004,2.0999999999999996,-2.5,0
RA-107,2024,Fase 5,Agata,16,Feminino,Não,5.0,4.666666666666667,7.9949874686666655,7.5,7.51,7.5,6.964,6.676130827066667,-2.333333333333333,-0.5050125313333345,2.51,1
RA-1070,2023,Fase 1,Agata,11,Masculino,Não,5.0,5.8,7.8,9.0,3.14,7.708333333,8.67,6.939033333,0.0,0.0,0.0,1
RA-1070,2024,Fase 1,Agata,12,Masculino,Não,5.0,2.25,9.3073593075,9.002,5.635,6.875,6.6225,6.287171861500001,-3.55,1.5073593075000007,2.4949999999999997,1
RA-1071,2023,Fase 1,Agata,11,Masculino,Não,5.0,3.5,8.6,9.0,7.52,5.625,6.396666667,6.414033333,0.0,0.0,0.0,1
RA-1071,2024,Fase 2,Quartzo,12,Masculino,Não,5.0,4.5,4.188311688500001,8.002,7.51,4.166666667,2.996666667,4.8048623378,1.0,-4.411688311499999,-0.009999999999999787,1
RA-1072,2023,Fase 2,Topázio,11,Masculino,Não,10.0,6.7,8.6,9.0,5.0,8.125,8.7125,8.0152,0.0,0.0,0.0,0
RA-1072,2024,Fase 3,Ametista,12,Masculino,Não,10.0,8.166666666666666,5.627886710333333,8.751,8.755,7.96875,7.545,7.8153856754,1.466666666666666,-2.972113289666667,3.755000000000001,0
RA-1073,2023,Fase 2,Agata,0,Feminino,Não,5.0,6.2,8.8,0.0,2.52,8.333333333,9.045,6.384333333,0.0,0.0,0.0,1
RA-1073,2024,Fase 3,Ametista,13,Feminino,Não,10.0,6.5,6.370972886666667,9.168,7.5,6.875,5.7875,7.0859945773333335,0.2999999999999998,-2.4290271133333334,4.98,0
RA-1074,2023,Fase 2,Agata,12,Feminino,Não,5.0,6.0,9.8,0.0,2.52,7.083333333,7.8775,6.195833333,0.0,0.0,0.0,1
RA-1075,2023,Fase 2,Agata,12,Feminino,Não,5.0,5.5,9.6,0.0,5.0,7.708333333,9.0025,6.591333333,0.0,0.0,0.0,1
RA-1075,2024,Fase 2,Agata,13,Feminino,Não,5.0,6.0,8.5154061625,7.5,3.755,7.708333333,7.553333333,6.8100812324,0.5,-1.0845938375,-1.245,1
RA-1076,2023,Fase 2,Ametista,0,Feminino,Não,5.0,8.5,9.7,9.0,2.52,8.333333333,8.8775,7.901033333,0.0,0.0,0.0,1
RA-1076,2024,Fase 3,Ametista,13,Feminino,Não,10.0,6.333333333333333,7.777033492666668,8.334,8.125,7.03125,6.5425,7.479598365200001,-2.166666666666667,-1.9229665073333315,5.605,0
RA-1077,2023,Fase 2,Ametista,0,Masculino,Não,10.0,7.3,9.7,0.0,2.52,8.75,8.4225,7.2115,0.0,0.0,0.0,0
RA-1077,2024,Fase 3,Quartzo,12,Masculino,Não,10.0,2.0,7.703703703666666,0.0,6.885,6.40625,6.37,5.543865740733334,-5.3,-1.996296296333333,4.365,0
RA-1078,2023,Fase 2,Agata,14,Masculino,Não,5.0,6.4,6.8,5.3,2.52,8.958333333,8.2975,6.472333333,0.0,0.0,0.0,1
RA-1079,2023,Fase 2,Agata,0,Masculino,Não,5.0,7.6,8.1,9.0,2.52,7.083333333,7.13,6.916533333,0.0,0.0,0.0,1
RA-1079,2024,Fase 3,Quartzo,13,Masculino,Não,10.0,6.333333333333333,4.516498316333333,7.5,2.51,4.21875,4.1625,5.4253413299333335,-1.2666666666666666,-3.5835016836666664,-0.010000000000000231,0
